"Comment","Designator","Footprint","LCSC Part Number"
"2.2uF/6.3V/20%/X5R/C0402","C11,C12","C_0402_1005Metric","C12530"
"18pF/50V/5%/C0G/C0402","C15,C16","C_0402_1005Metric","C1549"
"1uF","C19,C20,C21","C_0402_1005Metric","C52923"
"22.0uF","C22,C23,C32,C33,C36","CP_EIA-3216-10_Kemet-I","C782264"
"100nF","C24,C25,C30,C34,C35","C_0603_1608Metric","C14663"
"0.1uF","C26,C18,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C13,C14,C17","C_0402_1005Metric","C307331"
"100pF","C31","C_0603_1608Metric","C14858"
"1N4007FL","D4,D5,D1,D2,D3,D6","D_SOD-123F","C493190"
"LED 0402 RED","D8,D9","LED_0402_1005Metric","C965790"
"15V 200mA","F3,F1,F2","Fuse_0805_2012Metric","C883103"
"Conn_01x15","J1","FFC_0.5-14P_CTXJ-H2.0_1","C5378715"
"Conn_02x06_Top_Bottom","J2,J3","PinSocket_2x06_P2.54mm_Horizontal","C2897426"
"AUDIO JACK PJ-324M0","J4,J5","pj324m","C2884986"
"CONN 2x5 P=2.54mm","J6","PinHeader_2x05_P2.54mm_Horizontal","C492433"
"USB_C","J7,J9","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"MICROMOD-2222","J8","TE_21992304","C2977809"
"FERRITE","L1,L2","L_0603_1608Metric","C14709"
"6.8uH 2A","L3","L_Vishay_IHLP-2020","C844992"
"2N7002","Q2,Q3","SOT-23","C71533"
"8.06k","R2","R_0402_1005Metric","C276278"
"20K","R9","R_0402_1005Metric","C25765"
"220R","R10,R11,R16","R_0402_1005Metric","C25091"
"4K7","R12","R_0402_1005Metric","C25900"
"33R","R13","R_0402_1005Metric","C25105"
"10R","R14","R_0402_1005Metric","C25077"
"1K","R15","R_0402_1005Metric","C11702"
"182K","R17","R_0402_1005Metric","C327365"
"62K","R18","R_0402_1005Metric","C137950"
"5.1K","R19,R20,R21,R22","R_0402_1005Metric","C25905"
"18K","R24","R_0402_1005Metric","C138044"
"27R","R25,R26,R6,R7","R_0402_1005Metric","C138021"
"10K","R27,R1,R3,R4,R23","R_0402_1005Metric","C25744"
"100R","R29,R30,R5,R8","R_0402_1005Metric","C25076"
"SW_Tactile_SPST","SW1,SW2","SW_Tactile_SPST_Angled_TC-1109DE-B-F","C692468"
"ZD25WQ16CSIGT(SOIC-8_208mils)","U1","SOIC-8W_5.3x5.3mm_P1.27mm","C5353597"
"RP2040(QFN-56_7x7mm_P0.4mm)","U2","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","C2040"
"USB3343","U3","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C633347"
"H11L1SR2M","U4","DIP-6_W8.89mm_SMDSocket_LongPads","C20082"
"AP63200WU","U5","TSOT-23-6","C2071868"
"Crystal_GND24_Small","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C133334"
