"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C13,C14","C_0402_1005Metric","C307331"
"2.2uF","C11,C12","C_0402_1005Metric","C12530"
"18pF/50V/5%/C0G/C0402","C15,C16","C_0402_1005Metric","C1549"
"22.0uF","C23,C26","CP_EIA-3216-10_Kemet-I","C782264"
"100nF","C25,C28,C30,C34,C43,C27","C_0603_1608Metric","C14663"
"22uF","C29,C32,C38,C42","CP_EIA-3216-10_Kemet-I","C782264"
"100pF","C31","C_0603_1608Metric","C14858"
"47uF","C33","CP_Elec_6.3x5.4","C88735"
"10n","C39,C40,C41","C_0402_1005Metric","C60133"
"1N4007FL","D1,D2,D3","D_SOD-123F","C493190"
"3V6","D4","D_SOD-123","C173412"
"LED 0402 GREEN","D5,D6,D7,D8,D13,D14,D15,D16","LED_0402_1005Metric","C2856703"
"LED 0402 RED","D9,D10,D11,D12,D17,D18,D19,D20","LED_0402_1005Metric","C965790"
"15V 200mA","F1,F2","Fuse_0805_2012Metric","C883103"
"Conn_01x15","J1","FFC_0.5-14P_CTXJ-H2.0_1","C5378715"
"Conn_02x06_Top_Bottom","J2,J3","PinSocket_2x06_P2.54mm_Horizontal","C2897426"
"~","J4","AUDIO-TH_PJ-325M","C2884942"
"USB_C_Receptacle_USB2.0_14P","J5,J7","USB-C-TH_U264-141N-4BAC10","C692526"
"CONN 2x5 P=2.54mm","J6","PinHeader_2x05_P2.54mm_Horizontal","C492433"
"MICROMOD-2222","J8","TE_21992304","C2977809"
"DVI_GPDI","J10","HDMI_A_Amphenol_10029449-x01xLF_Horizontal","C428493"
"FERRITE","L1,L2,L4,L5,L6,L7","L_0603_1608Metric","C14709"
"10uH 2A","L3","L_Vishay_IHLP-2020","C844996"
"4K7","R1,R2,R9,R25,R32","R_0402_1005Metric","C25900"
"10K","R3,R4,R23,R13,R14,R21,R22,R29,R30,R27,R33","R_0402_1005Metric","C25744"
"100R","R5,R8","R_0402_1005Metric","C25076"
"27R","R6,R7","R_0402_1005Metric","C138021"
"220R","R10,R16","R_0402_1005Metric","C25091"
"5.1K","R11,R12","R_0402_1005Metric","C25905"
"1K","R15","R_0402_1005Metric","C11702"
"157K (158K)","R17","R_0402_1005Metric","C861679"
"30K","R18","R_0402_1005Metric","C25776"
"900K (910K)","R20","R_0402_1005Metric","C25800"
"18K","R24","R_0402_1005Metric","C138044"
"549","R31","R_0402_1005Metric","C474081"
"270","R34,R35,R36,R37,R38,R39,R40,R41","R_0402_1005Metric","C25099"
"120R","RN1,RN2,RN3,RN4","R_Array_Convex_4x0402","C326871"
"SW_Tactile_SPST","SW2","SW_SPST_SKQG_WithStem","C202424"
"ZD25WQ16CSIGT(SOIC-8_208mils)","U1","SOIC-8W_5.3x5.3mm_P1.27mm","C5353597"
"RP2040(QFN-56_7x7mm_P0.4mm)","U2","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","C2040"
"PCA9306DP","U3","TSSOP-8_3x3mm_P0.65mm","C128835"
"H11L1SR2M","U4","DIP-6_W8.89mm_SMDSocket_LongPads","C20082"
"AP63200WU","U5","TSOT-23-6","C2071868"
"AMS1117-3.3","U6","SOT-223-3_TabPin2","C347222"
"PCA9635 LED DRIVER","U7","TSSOP-28_4.4x9.7mm_P0.65mm","C110795"
"TUSB322I","U8","Texas_X2QFN-12_1.6x1.6mm_P0.4mm","C2674422"
"AP2161W","U9","SOT-23-5","C176957"
"Crystal_GND24_Small","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C133334"
