Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D6,LED 0402 GREEN,LED_0402_1005Metric,1.965000,-2.650000,180.000000,bottom
D8,LED 0402 GREEN,LED_0402_1005Metric,1.980000,-6.440000,180.000000,bottom
D10,LED 0402 RED,LED_0402_1005Metric,1.972500,-3.600000,180.000000,bottom
D12,LED 0402 RED,LED_0402_1005Metric,1.985000,-7.390000,180.000000,bottom
D14,LED 0402 GREEN,LED_0402_1005Metric,1.965000,-4.550000,180.000000,bottom
D15,LED 0402 GREEN,LED_0402_1005Metric,1.290000,-100.157500,270.000000,bottom
D16,LED 0402 GREEN,LED_0402_1005Metric,1.985000,-8.340000,180.000000,bottom
D18,LED 0402 RED,LED_0402_1005Metric,1.972500,-5.500000,180.000000,bottom
D19,LED 0402 RED,LED_0402_1005Metric,2.240000,-100.150000,270.000000,bottom
D20,LED 0402 RED,LED_0402_1005Metric,1.985000,-9.290000,180.000000,bottom
J1,Conn_01x15,FFC_0.5-14P_CTXJ-H2.0_1,10.650000,-53.350000,270.000000,bottom
RN2,120R,R_Array_Convex_4x0402,8.540000,-3.440000,90.000000,bottom
RN4,120R,R_Array_Convex_4x0402,8.610000,-8.440000,90.000000,bottom
U4,H11L1SR2M,DIP-6_W8.89mm_SMDSocket_LongPads,19.655000,-85.845000,90.000000,bottom
C1,0.1uF,C_0402_1005Metric,25.175000,-42.705000,0.000000,top
C2,0.1uF,C_0402_1005Metric,27.439999,-53.267266,0.000000,top
C3,0.1uF,C_0402_1005Metric,17.720000,-62.110000,180.000000,top
C4,0.1uF,C_0402_1005Metric,22.890000,-61.860000,0.000000,top
C5,0.1uF,C_0402_1005Metric,27.423353,-56.400000,0.000000,top
C6,0.1uF,C_0402_1005Metric,21.623870,-52.204428,180.000000,top
C7,0.1uF,C_0402_1005Metric,18.190000,-51.300000,90.000000,top
C8,0.1uF,C_0402_1005Metric,15.190000,-57.300000,180.000000,top
C9,0.1uF,C_0402_1005Metric,15.190000,-56.300000,180.000000,top
C10,0.1uF,C_0402_1005Metric,17.190000,-51.300000,90.000000,top
C11,2.2uF,C_0402_1005Metric,15.190000,-52.700000,180.000000,top
C12,2.2uF,C_0402_1005Metric,15.190000,-53.700000,180.000000,top
C13,0.1uF,C_0402_1005Metric,27.440000,-55.125000,0.000000,top
C14,0.1uF,C_0402_1005Metric,14.590000,-58.760000,180.000000,top
C15,18pF/50V/5%/C0G/C0402,C_0402_1005Metric,28.960274,-56.905395,90.000000,top
C16,18pF/50V/5%/C0G/C0402,C_0402_1005Metric,27.526309,-62.651682,0.000000,top
C23,22.0uF,CP_EIA-3216-10_Kemet-I,21.365000,-91.100000,180.000000,top
C25,100nF,C_0603_1608Metric,21.940000,-93.200000,180.000000,top
C26,22.0uF,CP_EIA-3216-10_Kemet-I,8.780000,-29.870000,0.000000,top
C27,100nF,C_0603_1608Metric,4.690000,-29.950000,180.000000,top
C28,100nF,C_0603_1608Metric,22.125171,-78.457298,-90.000000,top
C29,22uF,CP_EIA-3216-10_Kemet-I,25.740310,-75.678727,0.000000,top
C30,100nF,C_0603_1608Metric,19.905000,-81.300000,0.000000,top
C31,100pF,C_0603_1608Metric,17.180000,-84.776500,180.000000,top
C32,22uF,CP_EIA-3216-10_Kemet-I,23.440000,-87.350000,-90.000000,top
C33,47uF,CP_Elec_6.3x5.4,21.990000,-16.650000,180.000000,top
C34,100nF,C_0603_1608Metric,12.439545,-85.626999,-90.000000,top
C38,22uF,CP_EIA-3216-10_Kemet-I,14.440000,-86.450000,-90.000000,top
C39,10n,C_0402_1005Metric,14.690000,-8.680000,-90.000000,top
C40,10n,C_0402_1005Metric,12.710000,-11.700000,0.000000,top
C41,10n,C_0402_1005Metric,14.690000,-3.950000,-90.000000,top
C42,22uF,CP_EIA-3216-10_Kemet-I,28.240000,-7.275000,-90.000000,top
C43,100nF,C_0603_1608Metric,30.240000,-6.425000,-90.000000,top
D1,1N4007FL,D_SOD-123F,4.990000,-97.825000,180.000000,top
D2,1N4007FL,D_SOD-123F,17.190000,-90.200000,-90.000000,top
D3,1N4007FL,D_SOD-123F,16.100000,-100.200000,90.000000,top
D4,3V6,D_SOD-123,6.015000,-51.875000,0.000000,top
D5,LED 0402 GREEN,LED_0402_1005Metric,1.985000,-14.325000,0.000000,top
D7,LED 0402 GREEN,LED_0402_1005Metric,1.985000,-109.080000,0.000000,top
D9,LED 0402 RED,LED_0402_1005Metric,1.980000,-13.385000,0.000000,top
D11,LED 0402 RED,LED_0402_1005Metric,1.985000,-108.090000,0.000000,top
D13,LED 0402 GREEN,LED_0402_1005Metric,1.990000,-12.435000,0.000000,top
D17,LED 0402 RED,LED_0402_1005Metric,1.980000,-11.485000,0.000000,top
F1,15V 200mA,Fuse_0805_2012Metric,14.940000,-92.637500,90.000000,top
F2,15V 200mA,Fuse_0805_2012Metric,16.100000,-105.062500,90.000000,top
J2,Conn_02x06_Top_Bottom,PinSocket_2x06_P2.54mm_Horizontal,6.440000,-79.110000,0.000000,top
J3,Conn_02x06_Top_Bottom,PinSocket_2x06_P2.54mm_Horizontal,6.440000,-56.250000,0.000000,top
J4,~,AUDIO-TH_PJ-325M,7.089573,-102.507736,0.000000,top
J5,USB_C_Receptacle_USB2.0_14P,USB-C-TH_U264-141N-4BAC10,8.490000,-17.520000,90.000000,top
J6,CONN 2x5 P=2.54mm,PinHeader_2x05_P2.54mm_Horizontal,21.730000,-105.980000,90.000000,top
J7,USB_C_Receptacle_USB2.0_14P,USB-C-TH_U264-141N-4BAC10,8.423750,-26.380000,90.000000,top
J8,MICROMOD-2222,TE_21992304,19.640000,-67.434400,180.000000,top
J10,DVI_GPDI,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,2.965000,-41.450000,-90.000000,top
L1,FERRITE,L_0603_1608Metric,20.522809,-89.178523,180.000000,top
L2,FERRITE,L_0603_1608Metric,15.440000,-96.950000,0.000000,top
L3,10uH 2A,L_Vishay_IHLP-2020,15.405000,-80.300000,-90.000000,top
L4,FERRITE,L_0603_1608Metric,19.134271,-78.451785,90.000000,top
L5,FERRITE,L_0603_1608Metric,20.644271,-78.451785,90.000000,top
L6,FERRITE,L_0603_1608Metric,20.512161,-87.605734,0.000000,top
L7,FERRITE,L_0603_1608Metric,15.440000,-95.450000,180.000000,top
R1,4K7,R_0402_1005Metric,15.165000,-74.725000,-90.000000,top
R2,4K7,R_0402_1005Metric,16.215000,-74.725000,-90.000000,top
R3,10K,R_0402_1005Metric,27.625000,-42.675000,180.000000,top
R4,10K,R_0402_1005Metric,27.435642,-54.200000,180.000000,top
R5,100R,R_0402_1005Metric,27.430000,-57.350000,180.000000,top
R6,27R,R_0402_1005Metric,13.340000,-54.475000,0.000000,top
R7,27R,R_0402_1005Metric,13.340000,-55.475000,0.000000,top
R8,100R,R_0402_1005Metric,19.825000,-37.275000,180.000000,top
R9,4K7,R_0402_1005Metric,13.590000,-34.650000,-90.000000,top
R10,220R,R_0402_1005Metric,8.505000,-97.900000,180.000000,top
R11,5.1K,R_0402_1005Metric,8.440000,-14.308293,90.000000,top
R12,5.1K,R_0402_1005Metric,9.430000,-14.308293,90.000000,top
R13,10K,R_0402_1005Metric,14.690000,-10.950000,90.000000,top
R14,10K,R_0402_1005Metric,5.890000,-11.700000,180.000000,top
R15,1K,R_0402_1005Metric,30.515000,-62.800000,-90.000000,top
R16,220R,R_0402_1005Metric,29.540000,-62.790000,90.000000,top
R17,157K (158K),R_0402_1005Metric,16.595000,-86.076500,180.000000,top
R18,30K,R_0402_1005Metric,18.155000,-86.576500,90.000000,top
R19,4K7,R_0402_1005Metric,6.140000,-21.450000,180.000000,top
R20,900K (910K),R_0402_1005Metric,11.230000,-23.500000,180.000000,top
R21,10K,R_0402_1005Metric,7.930000,-11.700000,0.000000,top
R22,10K,R_0402_1005Metric,14.690000,-6.210000,-90.000000,top
R23,10K,R_0402_1005Metric,7.430000,-14.288293,-90.000000,top
R24,18K,R_0402_1005Metric,5.930000,-13.798293,0.000000,top
R25,4K7,R_0402_1005Metric,8.890000,-34.510000,90.000000,top
R26,549,R_0402_1005Metric,11.680000,-39.251399,180.000000,top
R27,10K,R_0402_1005Metric,14.930000,-28.833593,180.000000,top
R28,10K,R_0402_1005Metric,11.680000,-38.300000,180.000000,top
R29,10K,R_0402_1005Metric,14.690000,-1.710000,-90.000000,top
R30,10K,R_0402_1005Metric,10.450000,-11.700000,0.000000,top
R31,549,R_0402_1005Metric,2.840000,-51.860000,90.000000,top
R32,4K7,R_0402_1005Metric,26.215000,-12.250000,90.000000,top
R33,10K,R_0402_1005Metric,18.190000,-26.333593,-90.000000,top
R34,270,R_0402_1005Metric,11.680000,-45.911192,180.000000,top
R35,270,R_0402_1005Metric,11.680000,-44.008394,180.000000,top
R36,270,R_0402_1005Metric,11.680000,-42.105596,180.000000,top
R37,270,R_0402_1005Metric,11.680000,-40.202798,180.000000,top
R38,270,R_0402_1005Metric,11.680000,-46.862591,180.000000,top
R39,270,R_0402_1005Metric,11.680000,-44.959793,180.000000,top
R40,270,R_0402_1005Metric,11.680000,-43.056995,180.000000,top
R41,270,R_0402_1005Metric,11.680000,-41.154197,180.000000,top
RN1,120R,R_Array_Convex_4x0402,3.930000,-12.820000,270.000000,top
RN3,120R,R_Array_Convex_4x0402,4.500000,-108.630000,180.000000,top
SW2,SW_Tactile_SPST,SW_SPST_SKQG_WithStem,23.265000,-30.250000,0.000000,top
SW3,RotaryEncoder_Switch,RotaryEncoder_Bourns_Horizontal_PEC09-2xxxF-Sxxxx,4.940000,-3.450000,180.000000,top
U1,ZD25WQ16CSIGT(SOIC-8_208mils),SOIC-8W_5.3x5.3mm_P1.27mm,25.975000,-39.215000,270.000000,top
U2,RP2040(QFN-56_7x7mm_P0.4mm),QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,21.090000,-57.250000,0.000000,top
U3,PCA9306DP,TSSOP-8_3x3mm_P0.65mm,11.240000,-34.725000,180.000000,top
U5,AP63200WU,TSOT-23-6,20.455000,-84.412500,270.000000,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,26.890000,-81.350000,90.000000,top
U7,PCA9635 LED DRIVER,TSSOP-28_4.4x9.7mm_P0.65mm,21.965000,-7.312500,180.000000,top
U8,TUSB322I,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,8.469220,-22.931686,90.000000,top
U9,AP2161W,SOT-23-5,15.552500,-26.383593,180.000000,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,28.556811,-59.660800,0.000000,top
